datahora,ativo,sinal_robo,preco_entrada,padrao,confianca,motivo,sinal_ideal_n1,resultado,lucro_pips_n1,pendente
2025-08-15 20:45:00,EURUSD,0,1.17026,RandomForest:0|XGBoost:0|LSTM:1,0.83,random_forest:0|Conf:0.85|ConfEff:0.51|xgboost:0|Conf:0.89|ConfEff:0.42|lstm:1|Conf:0.75|ConfEff:0.75|mp=0.446; Score_Reforco=0.0,0,neutro,0.0,False
2025-08-15 20:45:00,GBPUSD,1,1.35547,RandomForest:0|XGBoost:0|LSTM:1,0.85,random_forest:0|Conf:0.78|ConfEff:0.47|xgboost:0|Conf:0.99|ConfEff:0.42|lstm:1|Conf:0.77|ConfEff:0.77|mp=0.466; Score_Reforco=0.0,0,errou,2.4,False
2025-08-15 20:50:00,EURUSD,0,1.17048,RandomForest:0|XGBoost:0|LSTM:1,0.78,random_forest:0|Conf:0.75|ConfEff:0.45|xgboost:0|Conf:0.92|ConfEff:0.42|lstm:1|Conf:0.66|ConfEff:0.66|mp=0.430; Score_Reforco=0.0,0,neutro,0.0,False
2025-08-15 20:50:00,GBPUSD,0,1.35571,RandomForest:0|XGBoost:0|LSTM:1,0.81,random_forest:0|Conf:0.83|ConfEff:0.50|xgboost:0|Conf:0.96|ConfEff:0.42|lstm:1|Conf:0.64|ConfEff:0.64|mp=0.411; Score_Reforco=0.0,0,neutro,0.0,False
2025-08-15 20:55:00,EURUSD,0,1.17042,RandomForest:0|XGBoost:0|LSTM:1,0.83,random_forest:0|Conf:0.81|ConfEff:0.49|xgboost:0|Conf:0.92|ConfEff:0.42|lstm:1|Conf:0.75|ConfEff:0.75|mp=0.452; Score_Reforco=0.0,0,neutro,0.0,False
2025-08-15 20:55:00,GBPUSD,0,1.35552,RandomForest:0|XGBoost:0|LSTM:1,0.81,random_forest:0|Conf:0.81|ConfEff:0.49|xgboost:0|Conf:0.98|ConfEff:0.42|lstm:1|Conf:0.64|ConfEff:0.64|mp=0.414; Score_Reforco=0.0,0,neutro,0.0,False
2025-08-18 00:30:00,EURUSD,0,1.17102,RandomForest:0|XGBoost:0|LSTM:1,0.86,random_forest:0|Conf:0.89|ConfEff:0.45|xgboost:0|Conf:0.88|ConfEff:0.35|lstm:1|Conf:0.79|ConfEff:0.79|SNIPER:BLOCK|mp=0.499; Score_Reforco=0.0,0,neutro,0.0,False
2025-08-18 00:30:00,GBPUSD,0,1.35492,RandomForest:0|XGBoost:0|LSTM:1,0.78,random_forest:0|Conf:0.67|ConfEff:0.34|xgboost:0|Conf:0.82|ConfEff:0.35|lstm:1|Conf:0.83|ConfEff:0.83|SNIPER:BLOCK|mp=0.549; Score_Reforco=0.0,0,neutro,0.0,False
2025-08-18 00:35:00,EURUSD,0,1.171,RandomForest:0|XGBoost:0|LSTM:1,0.87,random_forest:0|Conf:0.89|ConfEff:0.45|xgboost:0|Conf:0.93|ConfEff:0.35|lstm:1|Conf:0.80|ConfEff:0.80|SNIPER:BLOCK|mp=0.503; Score_Reforco=0.0,0,neutro,0.0,False
2025-08-18 00:35:00,GBPUSD,0,1.35561,RandomForest:0|XGBoost:0|LSTM:1,0.64,random_forest:0|Conf:0.55|ConfEff:0.28|xgboost:0|Conf:0.71|ConfEff:0.35|lstm:1|Conf:0.67|ConfEff:0.67|SNIPER:BLOCK|mp=0.517; Score_Reforco=0.0,0,neutro,0.0,False
